"confidence","combo","sample.id"
"Low","Circle","Br2720_mid"
"High","Circle","Br2720_post"
"High","Star","Br2720_post"
"OK","Circle","Br2743_ant"
"High","Star","Br2743_ant"
"High","Circle","Br3942_ant"
"High","Circle","Br3942_mid"
"OK","Star","Br3942_mid"
"High","Circle","Br3942_post"
"OK","Circle","Br6423_ant"
"OK","Star","Br6423_ant"
"High","Circle","Br6423_post"
"High","Star","Br6423_post"
"Low","Circle","Br6432_post"
"OK","Star","Br6432_post"
"Low","Circle","Br6471_ant"
"Low","Star","Br6471_ant"
"High","Circle","Br6471_mid"
"OK","Star","Br6471_mid"
"OK","Circle","Br6522_mid"
"OK","Star","Br6522_mid"
"Low","Circle","Br6522_post"
"OK","Star","Br6522_post"
"Low","Circle","Br8325_ant"
"OK","Star","Br8325_ant"
"OK","Circle","Br8325_mid"
"OK","Star","Br8325_mid"
"High","Circle","Br8492_mid"
"High","Circle","Br8492_post"
"High","Star","Br8492_post"
"Low","Circle","Br8667_ant"
"Low","Star","Br8667_ant"
"High","Circle","Br8667_mid"
"OK","Star","Br8667_mid"
