Cell_type,sample,Sample_Name,Cell_no.,yield_ng,pg_cell
PBMCs,RHH5290,CYFZ_PBMC,2000000,3.140.412,1.570.206
PBMCs,RHH5291,FY2H_PBMC,2000000,4728,2.364
PBMCs,RHH5292,FLWA_PBMC,2000000,3.681.588,1.840.794
PBMCs,RHH5293,453W_PBMC,1000000,559.32,0.55932
PBMCs,RHH5294,684C_PBMC,1000000,530.076,0.530076
PBMCs,RHH5295,CZJE_PBMC,1000000,560.292,0.560292
PBMCs,RHH5321,DZQV_PBMC,2000000,284.268,0.142134
PBMCs,RHH5322,925L_PBMC,2000000,894.9,0.44745
PBMCs,RHH5323,9JD4_PBMC,2000000,744.096,0.372048
PBMCs,RHH5324,G4YW_PBMC,2000000,842.916,0.421458
PBMCs,RHH5325,4DUY_PBMC,2000000,961.884,0.480942
PBMCs,RHH5326,36TS_PBMC,1000000,514.356,0.514356
PBMCs,RHH5328,CR3L_PBMC,5000000,2628.48,0.525696
