"glial.known","neuron.known","glial.pred","neuron.pred","type","sample.id","glial.error","neuron.error","index.sample.id","neuron.size","glial.size","panel"
0.75,0.25,0.72,0.28,"noscale","Br3942_mid","2.66e-02","2.66e-02","Br2743_ant",30.16,26.33,"FigS3B"
0.75,0.25,0.78,0.22,"withscale","Br3942_mid","2.89e-02","2.89e-02","Br2743_ant",30.16,26.33,"FigS3B"
0.2,0.8,0.16,0.84,"noscale","Br3942_mid","4.34e-02","4.34e-02","Br3942_mid",41.66,31.03,"FigS3B"
0.2,0.8,0.2,0.8,"withscale","Br3942_mid","2.78e-17","0.00e+00","Br3942_mid",41.66,31.03,"FigS3B"
0.5,0.5,0.43,0.57,"noscale","Br3942_mid","7.69e-02","7.69e-02","Br6423_ant",37.33,27.38,"FigS3B"
0.5,0.5,0.5,0.5,"withscale","Br3942_mid","3.84e-03","3.84e-03","Br6423_ant",37.33,27.38,"FigS3B"
0.54,0.46,0.46,0.54,"noscale","Br3942_mid","7.98e-02","7.98e-02","Br6423_post",39.74,28.86,"FigS3B"
0.54,0.46,0.53,0.47,"withscale","Br3942_mid","6.27e-03","6.27e-03","Br6423_post",39.74,28.86,"FigS3B"
0.44,0.56,0.37,0.63,"noscale","Br3942_mid","6.26e-02","6.26e-02","Br6471_mid",35.35,27.26,"FigS3B"
0.44,0.56,0.45,0.55,"withscale","Br3942_mid","8.52e-03","8.52e-03","Br6471_mid",35.35,27.26,"FigS3B"
0.86,0.14,0.86,0.14,"noscale","Br3942_mid","3.52e-03","3.52e-03","Br6522_mid",33,32.05,"FigS3B"
0.86,0.14,0.89,0.11,"withscale","Br3942_mid","2.85e-02","2.85e-02","Br6522_mid",33,32.05,"FigS3B"
0.88,0.12,0.86,0.14,"noscale","Br3942_mid","2.38e-02","2.38e-02","Br6522_post",35.91,29.11,"FigS3B"
0.88,0.12,0.89,0.11,"withscale","Br3942_mid","8.61e-03","8.61e-03","Br6522_post",35.91,29.11,"FigS3B"
0.2,0.8,0.17,0.83,"noscale","Br3942_mid","3.11e-02","3.11e-02","Br8325_ant",36.96,30.04,"FigS3B"
0.2,0.8,0.21,0.79,"withscale","Br3942_mid","1.43e-02","1.43e-02","Br8325_ant",36.96,30.04,"FigS3B"
0.36,0.64,0.36,0.64,"noscale","Br3942_mid","7.22e-03","7.22e-03","Br8325_mid",36.03,34.92,"FigS3B"
0.36,0.64,0.43,0.57,"withscale","Br3942_mid","6.28e-02","6.28e-02","Br8325_mid",36.03,34.92,"FigS3B"
0.41,0.59,0.38,0.62,"noscale","Br3942_mid","3.24e-02","3.24e-02","Br8492_post",34.55,30.16,"FigS3B"
0.41,0.59,0.45,0.55,"withscale","Br3942_mid","3.89e-02","3.89e-02","Br8492_post",34.55,30.16,"FigS3B"
0.64,0.36,0.58,0.42,"noscale","Br3942_mid","6.72e-02","6.72e-02","Br8667_mid",42.89,32.32,"FigS3B"
0.64,0.36,0.65,0.35,"withscale","Br3942_mid","2.69e-03","2.69e-03","Br8667_mid",42.89,32.32,"FigS3B"
0.25,0.75,0.24,0.76,"noscale","Br3942_mid","1.17e-02","1.17e-02","Br3942_ant",34.98,32.82,"FigS3B"
0.25,0.75,0.29,0.71,"withscale","Br3942_mid","4.56e-02","4.56e-02","Br3942_ant",34.98,32.82,"FigS3B"
0.31,0.69,0.3,0.7,"noscale","Br3942_mid","5.76e-03","5.76e-03","Br8492_mid",30.99,30.16,"FigS3B"
0.31,0.69,0.36,0.64,"withscale","Br3942_mid","5.94e-02","5.94e-02","Br8492_mid",30.99,30.16,"FigS3B"
0.75,0.25,0.72,0.28,"noscale","Br2743_ant","2.66e-02","2.66e-02","Br2743_ant",30.16,26.33,"FigS3A"
0.75,0.25,0.75,0.25,"withscale","Br2743_ant","0.00e+00","1.11e-16","Br2743_ant",30.16,26.33,"FigS3A"
0.2,0.8,0.16,0.84,"noscale","Br2743_ant","4.34e-02","4.34e-02","Br3942_mid",41.66,31.03,"FigS3A"
0.2,0.8,0.18,0.82,"withscale","Br2743_ant","2.44e-02","2.44e-02","Br3942_mid",41.66,31.03,"FigS3A"
0.5,0.5,0.43,0.57,"noscale","Br2743_ant","7.69e-02","7.69e-02","Br6423_ant",37.33,27.38,"FigS3A"
0.5,0.5,0.46,0.54,"withscale","Br2743_ant","4.34e-02","4.34e-02","Br6423_ant",37.33,27.38,"FigS3A"
0.54,0.46,0.46,0.54,"noscale","Br2743_ant","7.98e-02","7.98e-02","Br6423_post",39.74,28.86,"FigS3A"
0.54,0.46,0.49,0.51,"withscale","Br2743_ant","4.59e-02","4.59e-02","Br6423_post",39.74,28.86,"FigS3A"
0.44,0.56,0.37,0.63,"noscale","Br2743_ant","6.26e-02","6.26e-02","Br6471_mid",35.35,27.26,"FigS3A"
0.44,0.56,0.41,0.59,"withscale","Br2743_ant","3.03e-02","3.03e-02","Br6471_mid",35.35,27.26,"FigS3A"
0.86,0.14,0.86,0.14,"noscale","Br2743_ant","3.52e-03","3.52e-03","Br6522_mid",33,32.05,"FigS3A"
0.86,0.14,0.87,0.13,"withscale","Br2743_ant","1.21e-02","1.21e-02","Br6522_mid",33,32.05,"FigS3A"
0.88,0.12,0.86,0.14,"noscale","Br2743_ant","2.38e-02","2.38e-02","Br6522_post",35.91,29.11,"FigS3A"
0.88,0.12,0.87,0.13,"withscale","Br2743_ant","7.98e-03","7.98e-03","Br6522_post",35.91,29.11,"FigS3A"
0.2,0.8,0.17,0.83,"noscale","Br2743_ant","3.11e-02","3.11e-02","Br8325_ant",36.96,30.04,"FigS3A"
0.2,0.8,0.19,0.81,"withscale","Br2743_ant","1.12e-02","1.12e-02","Br8325_ant",36.96,30.04,"FigS3A"
0.36,0.64,0.36,0.64,"noscale","Br2743_ant","7.22e-03","7.22e-03","Br8325_mid",36.03,34.92,"FigS3A"
0.36,0.64,0.39,0.61,"withscale","Br2743_ant","2.45e-02","2.45e-02","Br8325_mid",36.03,34.92,"FigS3A"
0.41,0.59,0.38,0.62,"noscale","Br2743_ant","3.24e-02","3.24e-02","Br8492_post",34.55,30.16,"FigS3A"
0.41,0.59,0.41,0.59,"withscale","Br2743_ant","1.01e-05","1.01e-05","Br8492_post",34.55,30.16,"FigS3A"
0.64,0.36,0.58,0.42,"noscale","Br2743_ant","6.72e-02","6.72e-02","Br8667_mid",42.89,32.32,"FigS3A"
0.64,0.36,0.61,0.39,"withscale","Br2743_ant","3.44e-02","3.44e-02","Br8667_mid",42.89,32.32,"FigS3A"
0.25,0.75,0.24,0.76,"noscale","Br2743_ant","1.17e-02","1.17e-02","Br3942_ant",34.98,32.82,"FigS3A"
0.25,0.75,0.26,0.74,"withscale","Br2743_ant","1.37e-02","1.37e-02","Br3942_ant",34.98,32.82,"FigS3A"
0.31,0.69,0.3,0.7,"noscale","Br2743_ant","5.76e-03","5.76e-03","Br8492_mid",30.99,30.16,"FigS3A"
0.31,0.69,0.33,0.67,"withscale","Br2743_ant","2.35e-02","2.35e-02","Br8492_mid",30.99,30.16,"FigS3A"
